Country Name,Country Code,Series Name,Series Code,2002 [YR2002]
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2148910000
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,14656321800.5386
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,138346430
Belgium,BEL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,18118954671.3727
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,904659791.087722
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,16586600193.114
Canada,CAN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,24486425376.8819
Switzerland,CHE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8258050580.1782
Chile,CHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2549923142.41108
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,53073618897.4036
Colombia,COL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2133698124.14946
Costa Rica,CRI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,723172624.768835
Cyprus,CYP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1103449726.13198
Czechia,CZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8496609035.7758
Germany,DEU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,51268214890.6254
Denmark,DNK,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4430703178.95052
Dominican Republic,DOM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,926000000
Ecuador,ECU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,783261009.55
Spain,ESP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,39359708554.1526
Estonia,EST,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,338234260.376913
Finland,FIN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8094575465.08978
France,FRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,51550483853.8509
United Kingdom,GBR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,89760582753.2235
Greece,GRC,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,34180546.5370639
"Hong Kong SAR, China",HKG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,6747855220.81764
Croatia,HRV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,980784304.813265
Hungary,HUN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3643428379.51995
Indonesia,IDN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,145085548.722222
India,IND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5208967106.27894
